MOVIMENTACAO,ORIGEM,CATEGORIA,DATA,VALOR
SAIDA,COMPER,COMPRAS DO MES,2024-10-13,50.00
ENTRADA,EMPREGO,SALARIO,2024-11-05,2000.00
SAIDA,CARREFOUR,COMPRAS DO MES,2024-10-14,120.00
ENTRADA,FREELA,TRABALHO EXTRA,2024-10-15,500.00
SAIDA,NETFLIX,ENTRETENIMENTO,2024-10-16,30.00
SAIDA,POSTO COMBUSTIVEL,TRANSPORTE,2024-10-17,100.00
ENTRADA,EMPREGO,SALARIO,2024-12-05,2000.00
SAIDA,SHOPPING,ENTRETENIMENTO,2024-10-18,250.00
SAIDA,MERCADO LIVRE,COMPRAS ONLINE,2024-10-19,150.00
ENTRADA,VENDA,MATERIAIS RECICLAVEIS,2024-10-20,80.00
SAIDA,FARMACIA,SAUDE,2024-10-21,45.00
SAIDA,SUPERMERCADO,ALIMENTACAO,2024-10-22,300.00
ENTRADA,EMPREGO,SALARIO,2025-01-05,2000.00
SAIDA,LOJA ROUPAS,VESTUARIO,2024-10-23,180.00
SAIDA,CINEMA,ENTRETENIMENTO,2024-10-24,40.00
SAIDA,RESTAURANTE,ALIMENTACAO,2024-10-25,120.00
ENTRADA,EMPREGO,SALARIO,2025-02-05,2000.00
SAIDA,LIVRARIA,EDUCACAO,2024-10-26,75.00
SAIDA,HORTIFRUTI,ALIMENTACAO,2024-10-27,90.00
ENTRADA,DIVIDENDO,INVESTIMENTOS,2024-10-28,300.00
